BatchID,BatchCreatedBy,BatchTimeStamp,BatchFacilityID,ProductID,VirginPO,VirginLot,VirginQty
6642,807,2017-01-11 13:25:00,4,241,31050,4,235.8699951171875
6643,811,2017-01-11 16:14:00,10,111,37063,US80170,200.0
6646,745,2017-01-13 12:56:00,4,311,23397,UK6002,240.0
6649,745,2017-01-13 15:48:00,4,311,23397,UK2448,36.040000915527344
6654,176,2017-01-18 17:25:00,10,111,37568,US80170,400.0
6656,745,2017-01-19 14:22:00,4,311,23397,UK2448,70.27999877929688
6665,176,2017-01-27 16:58:00,10,414,37191,US80163,100.0
6666,176,2017-01-27 17:04:00,10,414,37191,US80195,100.0
6668,176,2017-01-27 17:34:00,10,113,37866,N12/15-6057S,100.0
6695,176,2017-02-17 20:10:00,10,212,24629,15-A625-1,368.0
6700,745,2017-02-21 18:09:00,4,251,38609,3,100.0
6713,807,2017-03-02 12:18:00,4,223,38305,3,395.0
6714,745,2017-03-02 12:39:00,4,222,20217,522-313,51.5
6715,745,2017-03-02 13:39:00,4,221,25477,UK2355,100.0
6716,745,2017-03-02 13:48:00,4,221,25477,UK2355,20.0
6723,745,2017-03-07 19:26:00,4,331,29801,1,90.72000122070312
6724,745,2017-03-08 11:22:00,4,331,37860,2,158.0
6727,807,2017-03-08 17:13:00,4,313,38305,5,290.0
6756,745,2017-03-29 14:39:00,4,611,39796,3,150.0
6768,807,2017-04-05 15:59:00,4,223,38305,4,305.0
6785,745,2017-04-18 19:58:00,4,313,38305,7,408.0
6833,807,2017-05-23 19:23:00,4,223,38305,5,105.0
6841,807,2017-05-30 12:34:00,4,611,39796,3,38.400001525878906
6862,811,2017-06-09 18:55:00,10,113,0000041811,16-7031S,227.0
6866,807,2017-06-13 12:50:00,4,223,"38305, 41666",6,500.0
6896,811,2017-06-30 18:45:00,10,410,,1684/3,40.0
6904,224,2017-07-06 14:29:00,10,421,42518,1635400012,100.0
6908,745,2017-07-10 13:33:00,4,341,40708,1,50.0
6922,745,2017-07-14 13:39:00,4,510,,E211001,27.1200008392334
6930,745,2017-07-19 16:52:00,4,261,41511,Y5618B,40.91999816894531
6943,224,2017-07-27 14:55:00,10,113,43119,16-7031S,498.7999877929688
6945,807,2017-07-27 19:39:00,4,611,41210,4,400.0
6957,1170,2017-08-07 14:04:00,4,313,38305,8,300.0
6958,1170,2017-08-07 14:10:00,4,223,41666,7,205.0
6961,224,2017-08-07 16:16:00,10,323,43165,14,231.54
6965,1170,2017-08-09 13:28:00,4,351,37861,1,120.0
6972,224,2017-08-11 15:01:00,10,415,43341,39,500.0
6977,807,2017-08-14 13:59:00,4,261,43815,"Y5156B1, Y5618B",54.43104934692383
6989,1170,2017-08-21 18:44:00,4,313,44155,8,315.0
7040,807,2017-09-18 14:16:00,4,611,44725,4,45.35919952392578
7042,807,2017-09-18 18:46:00,4,223,41666,7,350.0
7050,224,2017-09-21 20:05:00,10,323,43165,14,145.27999877929688
7083,807,2017-10-19 17:54:00,4,512,29500,19,385.0
7093,224,2017-10-26 18:12:00,10,323,45805,15,200.0
7124,745,2017-11-15 22:07:00,4,261,44452,Y6035B1,54.47999954223633
7132,224,2017-11-21 17:10:00,10,414,46825,US80520,30.0
7153,807,2017-12-05 17:44:00,4,512,29500,20,25.0
7154,807,2017-12-05 17:51:00,4,611,45039,5,340.0
7155,745,2017-12-05 18:04:00,4,314,46240,472168,600.0
7159,224,2017-12-07 13:38:00,10,323,45805,16,300.0
7196,1170,2018-01-03 21:31:00,4,611,45039,6,1020.0
7204,1170,2018-01-09 14:30:00,4,331,37860,2,350.0
7213,224,2018-01-15 20:29:00,10,414,46825,US80558,100.0
7250,807,2018-02-12 17:18:00,4,223,47536,9,600.0
7264,224,2018-02-19 19:21:00,10,414,46825,US80579,200.0
7267,807,2018-02-20 20:22:00,4,512,29500,21,510.0
7269,807,2018-02-21 14:25:00,4,224,,IN718,290.0
7302,1258,2018-03-09 22:15:00,10,512,29500,21,260.0
7354,224,2018-04-04 18:14:00,10,114,49854,US80661,500.0
7357,1258,2018-04-05 19:00:00,10,414,46825,US80648,100.0
7358,1258,2018-04-05 19:17:00,10,323,50577,19,250.0
7363,745,2018-04-09 14:44:00,4,512,29500,23,100.0
7365,745,2018-04-09 19:49:00,4,512,29500,22,375.0
7372,1258,2018-04-11 22:24:00,10,114,49854,US80661,30.0
7385,1170,2018-04-17 15:27:00,4,512,29500,24,415.0
7501,224,2018-06-20 15:50:00,10,115,52590,US80758,250.0
7523,745,2018-07-03 13:32:00,4,512,29500,24,415.0
7526,745,2018-07-03 19:24:00,4,314,53310,480068,317.5
7534,224,2018-07-06 15:22:00,10,314,53310,481041,150.0
7550,745,2018-07-16 14:06:00,4,371,,C49,150.0
7587,804,2018-08-03 15:14:00,10,414,46825,US80520,70.0
7591,804,2018-08-06 18:57:00,10,323,54095,"18, 20",340.0
7597,1256,2018-08-10 16:16:00,4,314,53310,481041,322.04998779296875
7609,1256,2018-08-15 19:35:00,4,313,54668,11,150.0800018310547
7612,804,2018-08-16 15:05:00,10,115,54603,US80832,500.0
