BatchID,BatchCreatedBy,BatchTimeStamp,BatchFacilityID,ProductID,VirginPO,VirginLot,VirginWeight,CurrentWeight
6542,807,10/26/2016 12:31,4,515,29500,18,520,0
6544,176,10/27/2016 14:58,10,211,24629,15-A625-3,201.6000061,0
6554,176,11/4/2016 17:03,10,233,35720,2,400,0
6573,224,11/22/2016 14:31,10,323,36319,12,400,0
6593,176,12/6/2016 15:01,10,116,36368,N06/15-6048S,35,0
6602,745,12/13/2016 12:54,4,241,31050,2,122.0999985,0
6616,745,12/21/2016 20:29,4,241,31050,3,195,0
6617,745,12/21/2016 20:29,4,241,31050,5,90.72000122,0
6618,745,12/21/2016 20:56,4,241,26798,1,97.23999786,0
6625,224,12/27/2016 20:53,10,113,37062,US80156,200,0
6633,745,1/5/2017 12:36,4,222,20490,14-A718-3,73.66999817,0
6636,811,1/6/2017 19:46,4,213,37191,US80162,200,0
6642,807,1/11/2017 13:25,4,241,31050,4,235.8699951,0
6643,811,1/11/2017 16:14,10,113,37063,US80170,200,0
6646,745,1/13/2017 12:56,4,312,23397,UK6002,240,0
6649,745,1/13/2017 15:48,4,311,23397,UK2448,36.04000092,0
6654,176,1/18/2017 17:25,10,113,37568,US80170,400,0
6656,745,1/19/2017 14:22,4,311,23397,UK2448,70.27999878,0
6665,176,1/27/2017 16:58,10,414,37191,US80163,100,0
6666,176,1/27/2017 17:04,10,414,37191,US80195,100,0
6668,176,1/27/2017 17:34,10,116,37866,N12/15-6057S,100,0
6695,176,2/17/2017 20:10,10,211,24629,15-A625-1,368,0
6700,745,2/21/2017 18:09,4,251,38609,3,100,0
6713,807,3/2/2017 12:18,4,233,38305,3,395,0
6714,745,3/2/2017 12:39,4,232,20217,522-313,51.5,0
6715,745,3/2/2017 13:39,4,221,25477,UK2355,100,0
6716,745,3/2/2017 13:48,4,221,25477,UK2355,20,0
6723,745,3/7/2017 19:26,4,331,29801,1,90.72000122,20
6724,745,3/8/2017 11:22,4,331,37860,2,158,0
6727,807,3/8/2017 17:13,4,313,38305,5,290,0
6756,745,3/29/2017 14:39,4,611,39796,3,150,0
6768,807,4/5/2017 15:59,4,233,38305,4,305,0
6785,745,4/18/2017 19:58,4,313,38305,7,408,0
6833,807,5/23/2017 19:23,4,233,38305,5,105,0
6841,807,5/30/2017 12:34,4,611,39796,3,38.40000153,0
6862,811,6/9/2017 18:55,10,116,41811,16-7031S,227,0
6866,807,6/13/2017 12:50,4,233,"38305, 41666",6,500,0
6896,811,6/30/2017 18:45,10,410,,1684/3,40,0
6904,224,7/6/2017 14:29,10,421,42518,1635400012,100,0
6908,745,7/10/2017 13:33,4,341,40708,1,50,0
