BlendID,BlendDate,BlendCreatedBy,MaterialID,TotalWeight
135,2015-06-18 06:00:00,178,210,118.62
136,2015-06-18 06:00:00,178,210,118.78
137,2015-06-18 06:00:00,178,210,119.17999999999999
138,2015-06-18 06:00:00,178,210,121.89999999999999
139,2015-06-18 06:00:00,178,210,123.76
140,2015-06-30 06:00:00,178,210,117.17999999999999
141,2015-06-30 06:00:00,178,210,122.56
142,2015-06-30 06:00:00,178,210,118.36
143,2015-06-30 06:00:00,178,210,115.04
144,2015-06-30 06:00:00,178,210,111.0
145,2015-06-30 06:00:00,178,210,113.39999999999999
146,2015-06-30 06:00:00,178,210,120.14
147,2015-06-30 06:00:00,178,210,115.38
148,2015-06-30 06:00:00,178,210,120.96
149,2015-06-30 06:00:00,178,210,117.1
150,2015-06-30 06:00:00,178,210,108.8
151,2015-06-30 06:00:00,178,210,113.39999999999999
152,2015-06-30 06:00:00,178,210,118.44
153,2015-06-30 06:00:00,178,210,118.7
154,2015-07-12 06:00:00,178,210,114.92
155,2015-07-12 06:00:00,178,210,119.28
156,2015-07-12 06:00:00,178,210,116.74
157,2015-07-12 06:00:00,178,210,115.5
158,2015-07-12 06:00:00,178,210,116.46000000000001
159,2015-07-12 06:00:00,178,210,121.86
160,2015-07-12 06:00:00,178,210,122.34
161,2015-07-12 06:00:00,178,210,120.4
162,2015-07-12 06:00:00,178,210,122.4
163,2015-07-12 06:00:00,178,210,116.48
164,2015-07-12 06:00:00,178,210,118.12
165,2015-07-12 06:00:00,178,210,112.66
166,2015-07-12 06:00:00,178,210,119.17999999999999
167,2015-07-12 06:00:00,178,210,120.12
168,2015-07-12 06:00:00,178,210,120.6
169,2015-07-12 06:00:00,178,210,120.58
170,2015-07-12 06:00:00,178,210,114.38
171,2015-07-12 06:00:00,178,210,124.07
172,2015-07-20 06:00:00,178,210,118.42
173,2015-07-20 06:00:00,178,210,109.78
174,2015-07-20 06:00:00,178,210,118.26
175,2015-07-20 06:00:00,178,210,118.89999999999999
176,2015-07-20 06:00:00,178,210,115.76
177,2015-07-20 06:00:00,178,210,118.89999999999999
178,2015-07-20 06:00:00,178,210,112.84
179,2015-07-20 06:00:00,178,210,117.25999999999999
180,2015-07-20 06:00:00,178,210,117.39999999999999
181,2015-07-20 06:00:00,178,210,116.88
182,2015-07-20 06:00:00,178,210,120.7
183,2015-07-20 06:00:00,178,210,117.86
184,2015-07-20 06:00:00,178,210,119.10000000000001
185,2015-07-20 06:00:00,178,210,111.06
186,2015-07-24 06:00:00,178,210,115.38
187,2015-07-24 06:00:00,178,210,116.6
188,2015-07-24 06:00:00,178,210,116.0
189,2015-07-24 06:00:00,178,210,117.7
190,2015-07-24 06:00:00,178,210,114.02
191,2015-07-24 06:00:00,178,210,114.32
192,2015-07-28 06:00:00,178,210,116.5
193,2015-07-28 06:00:00,178,210,115.72
194,2015-07-28 06:00:00,178,210,120.66000000000001
195,2015-07-28 06:00:00,178,210,116.6
196,2015-07-28 06:00:00,178,210,114.46
197,2015-07-28 06:00:00,178,210,116.54
198,2015-07-28 06:00:00,178,210,117.52000000000001
199,2015-08-05 06:00:00,178,210,124.38
200,2015-08-05 06:00:00,178,210,116.52
201,2015-08-05 06:00:00,178,210,115.46
202,2015-08-05 06:00:00,178,210,114.67999999999999
203,2015-08-05 06:00:00,178,210,112.56
204,2015-08-05 06:00:00,178,210,114.86
205,2015-08-05 06:00:00,178,210,115.36
206,2015-08-05 06:00:00,178,210,122.78
207,2015-08-05 06:00:00,178,210,115.44
208,2015-08-05 06:00:00,178,210,118.46000000000001
209,2015-08-05 06:00:00,178,210,118.54
210,2015-08-05 06:00:00,178,210,116.08
211,2015-08-05 06:00:00,178,210,114.78
212,2015-08-18 06:00:00,178,210,117.7
213,2015-08-18 06:00:00,178,210,122.58
214,2015-08-18 06:00:00,178,210,118.10000000000001
215,2015-08-18 06:00:00,178,210,126.31
216,2015-08-18 06:00:00,178,210,120.19
217,2015-08-18 06:00:00,178,210,114.3
218,2015-08-18 06:00:00,178,210,118.52000000000001
219,2015-08-18 06:00:00,178,210,117.08
220,2015-08-18 06:00:00,178,210,115.78
221,2015-08-18 06:00:00,178,210,100.0
222,2015-08-18 06:00:00,178,210,117.28
223,2015-08-18 06:00:00,178,210,116.36
224,2015-08-18 06:00:00,178,210,113.76
225,2015-08-18 06:00:00,178,210,116.14
226,2015-08-18 06:00:00,178,210,120.4
227,2015-08-18 06:00:00,178,210,118.52
228,2015-08-18 06:00:00,178,210,116.38
229,2015-08-31 06:00:00,178,210,119.64
230,2015-08-31 06:00:00,178,210,116.36
231,2015-08-31 06:00:00,178,210,120.84
232,2015-08-31 06:00:00,178,210,121.18
233,2015-08-31 06:00:00,178,210,119.94
234,2015-08-31 06:00:00,178,210,116.84
235,2015-08-31 06:00:00,178,210,119.03999999999999
236,2015-08-31 06:00:00,178,210,122.80000000000001
237,2015-08-31 06:00:00,178,210,118.38000000000001
238,2015-08-31 06:00:00,178,210,119.78
239,2015-08-31 06:00:00,178,210,120.32
240,2015-08-31 06:00:00,178,210,118.62
241,2015-08-31 06:00:00,178,210,115.44
242,2015-08-31 06:00:00,178,210,116.94
243,2015-08-31 06:00:00,178,210,121.38
244,2015-08-31 06:00:00,178,210,116.38
245,2015-08-31 06:00:00,178,210,118.76
246,2015-08-31 06:00:00,178,210,118.94
247,2015-08-31 06:00:00,178,210,117.74
248,2015-08-31 06:00:00,178,210,114.91
249,2015-08-31 06:00:00,178,210,115.58
250,2015-09-08 06:00:00,178,210,119.86
251,2015-09-08 06:00:00,178,210,109.54
252,2015-09-08 06:00:00,178,210,117.34
253,2015-09-08 06:00:00,178,210,117.72
254,2015-09-08 06:00:00,178,210,116.67999999999999
255,2015-09-08 06:00:00,178,210,113.24
256,2015-09-08 06:00:00,178,210,118.36
257,2015-09-08 06:00:00,178,210,115.26
258,2015-09-08 06:00:00,178,210,116.58
259,2015-09-08 06:00:00,178,210,115.6
260,2015-09-08 06:00:00,178,210,116.82
261,2015-09-08 06:00:00,178,210,116.7
262,2015-09-08 06:00:00,178,210,114.97999999999999
263,2015-09-08 06:00:00,178,210,121.24
264,2015-09-22 06:00:00,178,210,118.56
265,2015-09-22 06:00:00,178,210,119.80000000000001
266,2015-09-22 06:00:00,178,210,117.0
267,2015-09-22 06:00:00,178,210,119.12
268,2015-09-22 06:00:00,178,210,120.14
269,2015-09-22 06:00:00,178,210,120.48
270,2015-09-22 06:00:00,178,210,128.0
271,2015-09-22 06:00:00,178,210,118.92
272,2015-09-22 06:00:00,178,210,117.7
273,2015-09-22 06:00:00,178,210,115.5
274,2015-09-22 06:00:00,178,210,118.44
275,2015-09-22 06:00:00,178,210,122.3
276,2015-09-22 06:00:00,178,210,118.94
277,2015-09-22 06:00:00,178,210,117.03
278,2015-09-22 06:00:00,178,210,115.76
279,2015-09-22 06:00:00,178,210,116.64999999999999
280,2015-09-22 06:00:00,178,210,114.88
281,2015-09-22 06:00:00,178,210,117.12
282,2015-09-22 06:00:00,178,210,124.84
283,2015-09-22 06:00:00,178,210,118.62
284,2015-10-15 06:00:00,178,210,115.12
285,2015-10-15 06:00:00,178,210,114.62
286,2015-10-15 06:00:00,178,210,115.34
287,2015-10-15 06:00:00,178,210,111.82
288,2015-10-15 06:00:00,178,210,115.76
289,2015-10-15 06:00:00,178,210,117.24
290,2015-10-15 06:00:00,178,210,113.48
291,2015-10-15 06:00:00,178,210,113.96
292,2015-10-15 06:00:00,178,210,114.42
293,2015-10-15 06:00:00,178,210,110.46
294,2015-10-15 06:00:00,178,210,114.64
295,2015-10-15 06:00:00,178,210,119.82
296,2015-10-15 06:00:00,178,210,116.26
297,2015-10-15 06:00:00,178,210,116.03999999999999
298,2015-10-15 06:00:00,178,210,95.08
299,2015-10-15 06:00:00,178,210,111.96
300,2015-10-15 06:00:00,178,210,114.52
